id;name;firstname;zip;city;birthdate;street;housenr;stateCode;state
 253;tyflk-name;htl-firstname; 17560;bhd-city;1962/06/06;xquf-street; 126;IN;INDIANA
 254;chbez-name;zkj-firstname; 17000;goh-city;1974/03/02;rkui-street; 13;AR;ARKANSAS
 255;zmmhg-name;rqb-firstname; 11340;egt-city;1970/02/06;pwjj-street; 6;MH;MARSHALL ISLANDS
 256;gutfo-name;vki-firstname; 18860;xdv-city;1986/07/11;iwkf-street; 14;DC;DISTRICT OF COLUMBIA
 257;eogwr-name;hnt-firstname; 19840;nht-city;1990/05/02;kljr-street; 18;VT;VERMONT
 258;ibupi-name;ygc-firstname; 18580;tvk-city;1978/08/20;xphm-street; 123;CO;COLORADO
 259;wqpaq-name;uwc-firstname; 10780;ygl-city;1958/03/20;ncta-street; 87;GU;GUAM
 260;swcms-name;ljb-firstname; 13560;pvt-city;1954/12/13;ovsf-street; 176;MD;MARYLAND
 261;xwxmt-name;qpq-firstname; 13380;fzc-city;1978/10/14;ivwb-street; 17;AZ;ARIZONA
 262;drxej-name;msd-firstname; 12720;ure-city;1986/02/15;nrqa-street; 30;MT;MONTANA
 263;scgpq-name;wgg-firstname; 18740;xtx-city;1990/05/09;vxwl-street; 29;AK;ALASKA
 264;qchcm-name;fbc-firstname; 14480;ymf-city;1978/03/21;cfqc-street; 63;ND;NORTH DAKOTA
 265;cbpxm-name;clb-firstname; 16900;etx-city;1974/03/29;uzyw-street; 175;OK;OKLAHOMA
 266;clksy-name;mls-firstname; 13560;qhs-city;1958/04/07;trwx-street; 47;MO;MISSOURI
 267;qwagv-name;hil-firstname; 18240;atx-city;1954/01/30;glaf-street; 57;MT;MONTANA
 268;grkjm-name;qwy-firstname; 15900;jvu-city;1970/02/26;rhdn-street; 172;ME;MAINE
 269;gkiis-name;xhp-firstname; 14440;bgh-city;1954/01/02;btrx-street; 53;FL;FLORIDA
 270;nscdn-name;lfn-firstname; 19900;eph-city;1958/09/29;nqao-street; 171;KS;KANSAS
 271;ulrrc-name;ncb-firstname; 10320;cao-city;1986/10/15;lkrm-street; 125;GA;GEORGIA
 272;qxjcn-name;wpy-firstname; 11260;rew-city;1954/12/19;tldv-street; 115;CA;CALIFORNIA
 273;thyyj-name;htd-firstname; 19100;tae-city;1982/03/04;wbqv-street; 174;PR;PUERTO RICO
 274;uigiq-name;lmx-firstname; 19320;bkr-city;1950/04/07;foio-street; 104;OK;OKLAHOMA
 275;iinbr-name;cfg-firstname; 12100;qwv-city;1986/01/12;ervo-street; 87;MN;MINNESOTA
 276;kipbw-name;fda-firstname; 16300;mlu-city;1970/03/26;yjpd-street; 15;MN;MINNESOTA
 277;cfrgd-name;dui-firstname; 11320;jax-city;1990/04/14;zaik-street; 157;ME;MAINE
 278;duaza-name;xsx-firstname; 11120;kkg-city;1958/02/05;bply-street; 185;VI;VIRGIN ISLANDS
 279;zzhqx-name;vlb-firstname; 18380;vyb-city;1950/12/11;iugj-street; 159;HI;HAWAII
 280;kuryf-name;kib-firstname; 13140;tum-city;1954/05/06;clkw-street; 31;CO;COLORADO
 281;daljt-name;ycr-firstname; 10840;ckw-city;1982/10/29;umof-street; 52;CO;COLORADO
 282;xhssg-name;djc-firstname; 17840;gvj-city;1954/12/12;zgmw-street; 35;WV;WEST VIRGINIA
 283;qqscv-name;eiu-firstname; 15260;daj-city;1986/01/30;qprc-street; 158;MH;MARSHALL ISLANDS
 284;tehbb-name;czj-firstname; 14180;xnh-city;1958/03/06;lfji-street; 48;UT;UTAH
 285;acdsd-name;yiu-firstname; 12220;buk-city;1958/02/15;ovcj-street; 70;ME;MAINE
 286;derpl-name;buv-firstname; 16000;fha-city;1970/09/02;vfay-street; 57;WA;WASHINGTON
 287;lobqd-name;qxn-firstname; 15060;ycp-city;1966/12/24;axxb-street; 38;PA;PENNSYLVANIA
 288;owxja-name;okb-firstname; 15640;lad-city;1982/05/24;wnka-street; 101;MN;MINNESOTA
 289;zohkw-name;ypo-firstname; 15460;wtu-city;1978/08/10;jhco-street; 21;VA;VIRGINIA
 290;nmrar-name;aqm-firstname; 18360;lcn-city;1963/01/26;zxeo-street; 143;WV;WEST VIRGINIA
 291;tndrh-name;ael-firstname; 16360;cyb-city;1958/04/10;cmlg-street; 78;ND;NORTH DAKOTA
 292;kbpkv-name;yck-firstname; 19400;oka-city;1974/11/02;kpmc-street; 10;CO;COLORADO
 293;uabcl-name;zms-firstname; 15940;tzb-city;1970/08/06;ezzs-street; 11;VT;VERMONT
 294;lancp-name;zbk-firstname; 11560;vny-city;1978/07/21;tzys-street; 182;LA;LOUISIANA
 295;wagzv-name;hcp-firstname; 13760;kik-city;1974/11/01;gpuw-street; 151;NH;NEW HAMPSHIRE
 296;qrenr-name;egp-firstname; 16920;zwq-city;1966/03/19;fbwi-street; 102;FL;FLORIDA
 297;amjep-name;mds-firstname; 16700;fvb-city;1978/05/07;peau-street; 167;WV;WEST VIRGINIA
 298;dzppv-name;qav-firstname; 16680;wbc-city;1970/04/15;dzyp-street; 149;VI;VIRGIN ISLANDS
 299;qrlwz-name;hvk-firstname; 14640;qyl-city;1954/03/07;gvsc-street; 32;NC;NORTH CAROLINA
 300;lracx-name;dmp-firstname; 13800;slo-city;1970/09/21;jspb-street; 106;WA;WASHINGTON
 301;jhlao-name;txt-firstname; 12020;jam-city;1962/06/26;bcky-street; 19;WV;WEST VIRGINIA
 302;aocxq-name;mzv-firstname; 17140;dgx-city;1954/08/24;maoi-street; 1;HI;HAWAII
 303;dvdbu-name;fdf-firstname; 10980;goa-city;1982/04/10;onik-street; 109;NM;NEW MEXICO
 304;cqapx-name;skq-firstname; 11080;akw-city;1958/09/02;xakx-street; 14;CA;CALIFORNIA
 305;crmlf-name;djf-firstname; 16100;mle-city;1974/10/10;udrl-street; 96;VT;VERMONT
 306;iujcn-name;tat-firstname; 17660;jnf-city;1966/03/31;inoh-street; 104;TX;TEXAS
 307;aetvh-name;spn-firstname; 14960;wxf-city;1954/06/30;mmxe-street; 78;PA;PENNSYLVANIA
 308;ibfdt-name;sfu-firstname; 11120;kqf-city;1954/06/22;xbwg-street; 132;CA;CALIFORNIA
 309;ccatv-name;aeb-firstname; 10940;qoi-city;1982/08/11;bsrg-street; 29;UT;UTAH
 310;udrjw-name;agc-firstname; 17100;aep-city;1974/04/23;bsju-street; 59;PR;PUERTO RICO
 311;crjcx-name;nbb-firstname; 14820;xtp-city;1958/11/08;fajh-street; 95;WY;WYOMING
 312;qbcrw-name;mef-firstname; 14220;mwa-city;1982/11/13;keyy-street; 97;NE;NEBRASKA
 313;wxvpi-name;dym-firstname; 10220;ncp-city;1954/09/28;qgrg-street; 25;undefined;undefined
 314;bandc-name;hzf-firstname; 18700;eoh-city;1990/11/05;qphi-street; 177;IL;ILLINOIS
 315;afatf-name;eii-firstname; 15480;lsm-city;1982/10/11;nzjq-street; 96;VI;VIRGIN ISLANDS
 316;trxge-name;vhe-firstname; 18260;ccm-city;1958/03/09;ducm-street; 1;NH;NEW HAMPSHIRE
 317;kdygt-name;tgc-firstname; 12500;bqo-city;1978/06/20;rqgx-street; 90;DC;DISTRICT OF COLUMBIA
 318;angdt-name;lvt-firstname; 13960;tbr-city;1974/07/14;wfqj-street; 196;GU;GUAM
 319;hqhqe-name;nxd-firstname; 14860;yhi-city;1954/04/23;wkpi-street; 23;MP;NORTHERN MARIANA ISLANDS
 320;pwwep-name;qtw-firstname; 15160;utn-city;1958/06/08;sheh-street; 176;FL;FLORIDA
 321;vkken-name;wrw-firstname; 16760;jhm-city;1974/12/13;czmf-street; 183;AR;ARKANSAS
 322;zbbmz-name;ipe-firstname; 14340;mco-city;1970/04/25;ymou-street; 2;WY;WYOMING
 323;eyzfr-name;xeb-firstname; 10440;qsa-city;1990/04/15;iukl-street; 135;AZ;ARIZONA
 324;tfpxy-name;yzh-firstname; 14080;wbc-city;1970/02/12;ojfc-street; 150;MP;NORTHERN MARIANA ISLANDS
 325;tphou-name;xac-firstname; 15940;ncy-city;1962/09/22;vcxl-street; 90;AL;ALABAMA
 326;bfscx-name;yih-firstname; 18900;bxa-city;1962/10/12;qsww-street; 137;VT;VERMONT
 327;ussbw-name;gbb-firstname; 15600;wtg-city;1978/07/29;vqcq-street; 10;KY;KENTUCKY
 328;zkoqj-name;mqn-firstname; 13440;lux-city;1970/05/01;bokx-street; 106;VA;VIRGINIA
 329;zbqew-name;dbw-firstname; 14520;hbi-city;1971/01/20;syea-street; 192;CT;CONNECTICUT
 330;vmfuy-name;qge-firstname; 16660;vnk-city;1982/08/29;tlxy-street; 166;PW;PALAU
 331;wajgr-name;mnx-firstname; 17500;wiv-city;1954/07/10;ylug-street; 21;OR;OREGON
 332;lzcry-name;tzk-firstname; 18980;icz-city;1966/06/04;ldvu-street; 25;GU;GUAM
 333;rodpv-name;rix-firstname; 16540;tpf-city;1986/02/03;leur-street; 169;SD;SOUTH DAKOTA
 334;pxmhq-name;tyd-firstname; 11200;okj-city;1978/12/30;tauk-street; 94;ND;NORTH DAKOTA
 335;kansg-name;qzs-firstname; 18020;yhj-city;1982/08/27;ehie-street; 140;AR;ARKANSAS
 336;kpqff-name;bqs-firstname; 13780;tnp-city;1958/08/07;euhw-street; 182;SD;SOUTH DAKOTA
 337;akvdd-name;bxi-firstname; 15620;rbk-city;1962/03/16;fzdy-street; 125;WA;WASHINGTON
 338;nbazl-name;ikv-firstname; 13160;wci-city;1966/08/22;smzb-street; 136;SD;SOUTH DAKOTA
 339;zrowi-name;udo-firstname; 16460;hbe-city;1962/07/07;xgyd-street; 170;AZ;ARIZONA
 340;jfzjd-name;atn-firstname; 13040;yef-city;1974/09/26;dyjj-street; 127;WI;WISCONSIN
 341;prsbo-name;ibh-firstname; 19520;qro-city;1986/01/10;pemg-street; 183;SC;SOUTH CAROLINA
 342;dwfdn-name;kci-firstname; 14640;fze-city;1970/07/24;xxdz-street; 102;IA;IOWA
 343;cnupm-name;rjl-firstname; 14660;ewk-city;1966/07/02;wzjr-street; 107;PW;PALAU
 344;wbpor-name;fuf-firstname; 11300;xne-city;1978/02/14;tyzx-street; 2;AL;ALABAMA
 345;tjqky-name;mjf-firstname; 12560;qlo-city;1982/10/21;hzos-street; 121;NE;NEBRASKA
 346;yxqsn-name;ofx-firstname; 18680;ute-city;1974/02/27;wqka-street; 111;FL;FLORIDA
 347;wjwmv-name;hra-firstname; 14520;mvj-city;1954/10/03;chmz-street; 70;SD;SOUTH DAKOTA
 348;aipnn-name;paa-firstname; 14400;gyq-city;1970/04/27;tbpq-street; 84;undefined;undefined
 349;wplyl-name;zvh-firstname; 15820;vhw-city;1967/01/12;eesj-street; 110;undefined;undefined
 350;syoip-name;lbd-firstname; 13860;wfo-city;1966/03/17;lsvf-street; 47;VI;VIRGIN ISLANDS
 351;lvhdk-name;pzl-firstname; 14320;bab-city;1950/05/01;wktz-street; 134;AR;ARKANSAS
 352;jodya-name;apd-firstname; 14520;nfr-city;1986/12/14;jgzs-street; 193;KY;KENTUCKY
 353;ikunj-name;syx-firstname; 17320;cqd-city;1982/08/19;xwzj-street; 53;IN;INDIANA
 354;bnhud-name;uvd-firstname; 15360;ynw-city;1971/01/25;gens-street; 107;MT;MONTANA
 355;prkrf-name;ivm-firstname; 19220;kie-city;1966/11/14;boem-street; 59;HI;HAWAII
 356;ucywi-name;sjl-firstname; 11480;ish-city;1982/11/13;szck-street; 148;NE;NEBRASKA
 357;sgftd-name;ajp-firstname; 11760;jco-city;1958/03/05;djek-street; 196;UT;UTAH
 358;kohdq-name;phr-firstname; 13120;kpb-city;1978/07/26;csom-street; 17;PR;PUERTO RICO
 359;fgjoa-name;srp-firstname; 11480;onn-city;1990/05/26;duvo-street; 127;MS;MISSISSIPPI
 360;xgiyw-name;rcu-firstname; 15140;mti-city;1958/09/26;lego-street; 125;MA;MASSACHUSETTS
 361;kgcui-name;grq-firstname; 12640;tjn-city;1986/02/08;ntoq-street; 6;CT;CONNECTICUT
 362;ljyxw-name;lho-firstname; 19100;hmd-city;1962/03/09;mqus-street; 12;CT;CONNECTICUT
 363;vnvwy-name;vmv-firstname; 14360;cpu-city;1966/04/20;cfts-street; 16;MI;MICHIGAN
 364;gedwu-name;ocl-firstname; 11760;vaf-city;1970/04/22;exot-street; 121;MT;MONTANA
 365;enknw-name;vjk-firstname; 11100;bge-city;1954/07/06;inhb-street; 95;AS;AMERICAN SAMOA
 366;qmpom-name;tmp-firstname; 12260;ymn-city;1986/07/02;psdj-street; 71;MI;MICHIGAN
 367;jrbwj-name;imr-firstname; 11080;qsx-city;1966/11/08;msys-street; 80;ID;IDAHO
 368;dzjpp-name;cwl-firstname; 15720;ipm-city;1958/07/13;acsb-street; 87;IL;ILLINOIS
 369;qdwdn-name;dtc-firstname; 12740;qab-city;1986/11/29;besk-street; 80;DC;DISTRICT OF COLUMBIA
 370;gbeyp-name;lzl-firstname; 19740;ljz-city;1974/10/01;zwga-street; 52;RI;RHODE ISLAND
 371;kuwva-name;noq-firstname; 17500;xia-city;1950/03/18;omzn-street; 164;KS;KANSAS
 372;jjhsm-name;cdc-firstname; 13020;xli-city;1986/06/10;nups-street; 38;VA;VIRGINIA
 373;xyupl-name;fyd-firstname; 16100;fqd-city;1971/01/05;icjo-street; 28;NE;NEBRASKA
 374;ueipj-name;meb-firstname; 19880;nsk-city;1974/08/15;aqwr-street; 14;LA;LOUISIANA
 375;vdmif-name;fat-firstname; 19120;dud-city;1974/07/01;krgw-street; 178;MS;MISSISSIPPI
 376;oxgdf-name;apn-firstname; 11400;dji-city;1962/04/02;ttnt-street; 13;HI;HAWAII
 377;xgxyc-name;jrn-firstname; 19400;bfg-city;1950/12/30;jzgy-street; 43;WY;WYOMING
 378;bczfk-name;bfu-firstname; 16920;qxp-city;1974/05/26;seja-street; 178;HI;HAWAII
 379;pppqe-name;kwo-firstname; 15260;geb-city;1986/04/06;okvv-street; 11;MN;MINNESOTA
 380;opzyy-name;mfk-firstname; 14960;nlo-city;1962/03/03;dezo-street; 106;AS;AMERICAN SAMOA
 381;xmnsm-name;ckj-firstname; 10400;fnr-city;1950/10/21;uhme-street; 154;NC;NORTH CAROLINA
 382;moqtn-name;zgw-firstname; 12920;pqk-city;1950/10/28;suvi-street; 102;WY;WYOMING
 383;byapu-name;pix-firstname; 10900;gik-city;1982/09/04;ntiq-street; 45;VI;VIRGIN ISLANDS
 384;zuhdb-name;gbj-firstname; 18760;vkk-city;1978/06/17;vnem-street; 62;TX;TEXAS
 385;gkjpo-name;qwq-firstname; 12380;ame-city;1982/12/01;ndvp-street; 94;VA;VIRGINIA
 386;yefwf-name;aev-firstname; 13580;mor-city;1962/07/09;ldcg-street; 91;AL;ALABAMA
 387;twgsp-name;mwx-firstname; 15840;bbp-city;1970/05/12;hecl-street; 137;WY;WYOMING
 388;zatdb-name;tes-firstname; 17080;yga-city;1954/11/05;dfwu-street; 58;undefined;undefined
 389;qxdyx-name;tum-firstname; 18100;mqw-city;1958/10/21;gndl-street; 156;FL;FLORIDA
 390;ncpki-name;wbm-firstname; 13860;cuo-city;1970/07/02;yqpa-street; 30;NE;NEBRASKA
 391;kyzsl-name;djj-firstname; 17400;zzd-city;1978/02/11;mvkp-street; 4;ME;MAINE
 392;jtksy-name;ayp-firstname; 10760;gui-city;1982/12/17;wohf-street; 175;DC;DISTRICT OF COLUMBIA
 393;grzby-name;oyz-firstname; 15140;bmz-city;1974/07/10;rrui-street; 60;NC;NORTH CAROLINA
 394;sgaut-name;xzd-firstname; 15260;dnb-city;1978/10/01;hcii-street; 169;RI;RHODE ISLAND
 395;ozkaq-name;brx-firstname; 11400;guw-city;1962/02/08;pswz-street; 194;NH;NEW HAMPSHIRE
 396;uqivg-name;map-firstname; 10880;lgr-city;1990/07/14;lxmi-street; 143;MN;MINNESOTA
 397;soqkg-name;jws-firstname; 17200;dss-city;1970/12/05;ppht-street; 187;UT;UTAH
 398;pdqdm-name;erh-firstname; 11860;obj-city;1986/04/03;aova-street; 121;CT;CONNECTICUT
 399;ogqrv-name;uyf-firstname; 16400;abs-city;1987/01/06;xwue-street; 114;AZ;ARIZONA
 400;ukcxw-name;ltd-firstname; 11760;bwi-city;1986/09/01;ddjt-street; 199;AR;ARKANSAS
 401;djcgr-name;tet-firstname; 19380;ure-city;1962/09/03;alzp-street; 169;SC;SOUTH CAROLINA
 402;ibbvs-name;cyv-firstname; 16060;gdh-city;1982/04/24;qrdz-street; 116;NV;NEVADA
 403;blmke-name;jtq-firstname; 17260;tls-city;1970/05/28;eylx-street; 171;NV;NEVADA
 404;qpatk-name;mtt-firstname; 13400;nzv-city;1970/03/25;exby-street; 93;WY;WYOMING
 405;mbngf-name;pqp-firstname; 10720;ann-city;1966/09/01;rkpu-street; 146;CT;CONNECTICUT
 406;rcydx-name;usf-firstname; 12880;jou-city;1982/02/20;gtqw-street; 186;MO;MISSOURI
 407;srszq-name;dtb-firstname; 14340;yrs-city;1978/03/16;wtan-street; 89;MN;MINNESOTA
 408;ezlfr-name;ebd-firstname; 19420;ctw-city;1986/03/22;zjyv-street; 44;VT;VERMONT
 409;bhotj-name;hzt-firstname; 16480;rbt-city;1978/06/11;mbsm-street; 157;WV;WEST VIRGINIA
 410;udzwf-name;kfd-firstname; 13440;maj-city;1986/06/06;kerz-street; 180;AZ;ARIZONA
 411;yflfv-name;zdl-firstname; 13300;zix-city;1982/05/20;ozcp-street; 153;MN;MINNESOTA
 412;wlyyq-name;kdz-firstname; 11400;ygb-city;1966/11/07;zekv-street; 111;AS;AMERICAN SAMOA
 413;wonzh-name;eeb-firstname; 19920;qnt-city;1982/09/20;fxob-street; 95;LA;LOUISIANA
 414;eiwzh-name;hpm-firstname; 15860;bfo-city;1967/01/30;tkpg-street; 182;VA;VIRGINIA
 415;mbqgk-name;jsm-firstname; 15040;dai-city;1954/06/12;jqdh-street; 65;NE;NEBRASKA
 416;jhigj-name;qyn-firstname; 18360;ntm-city;1974/05/15;eghd-street; 188;ME;MAINE
 417;llytl-name;jqe-firstname; 11280;kkp-city;1974/04/03;oudg-street; 69;DE;DELAWARE
 418;urhgl-name;iji-firstname; 13760;lhf-city;1962/12/02;oywx-street; 6;SC;SOUTH CAROLINA
 419;uflrm-name;hef-firstname; 15040;usl-city;1974/11/06;qvgi-street; 103;OK;OKLAHOMA
 420;gbfui-name;goz-firstname; 14940;edu-city;1986/02/25;gkqy-street; 26;KS;KANSAS
 421;nysbp-name;fro-firstname; 18420;wqt-city;1958/12/19;vpoc-street; 89;GA;GEORGIA
 422;fmrwo-name;wlf-firstname; 17820;qwb-city;1962/05/03;stcz-street; 22;CA;CALIFORNIA
 423;racwd-name;kqr-firstname; 10180;xdr-city;1974/04/09;fqxz-street; 15;MO;MISSOURI
 424;jpopz-name;krm-firstname; 13420;fjx-city;1970/10/29;kyph-street; 54;NJ;NEW JERSEY
 425;fwdat-name;ppn-firstname; 15660;zqh-city;1986/06/24;zgfe-street; 61;SC;SOUTH CAROLINA
 426;orznz-name;hyy-firstname; 12020;lju-city;1982/07/01;xisy-street; 125;GU;GUAM
 427;spzxo-name;mpv-firstname; 13220;cbq-city;1962/05/09;qlqx-street; 53;OK;OKLAHOMA
 428;qxdra-name;ifp-firstname; 10480;nvu-city;1958/08/15;egsq-street; 133;MH;MARSHALL ISLANDS
 429;yhelu-name;jsc-firstname; 17200;clp-city;1954/12/01;vahx-street; 3;NV;NEVADA
 430;umvfv-name;mbe-firstname; 13600;knp-city;1954/07/16;oldf-street; 188;PA;PENNSYLVANIA
 431;mwcfe-name;xxi-firstname; 15080;chq-city;1974/12/22;kpsj-street; 163;NV;NEVADA
 432;wvkrp-name;dtr-firstname; 19840;pqv-city;1986/07/07;jnzd-street; 119;HI;HAWAII
 433;vqfja-name;kep-firstname; 19380;ydo-city;1966/11/11;gsfd-street; 12;AR;ARKANSAS
 434;ikbjr-name;ipd-firstname; 17920;uld-city;1990/03/03;tmbc-street; 49;KS;KANSAS
 435;hyjrs-name;jqp-firstname; 18820;vvm-city;1970/05/07;txye-street; 152;AR;ARKANSAS
 436;tuewv-name;lkd-firstname; 17060;slo-city;1970/07/06;htdm-street; 197;OK;OKLAHOMA
 437;muyws-name;iql-firstname; 19540;cwf-city;1962/04/27;knsx-street; 167;LA;LOUISIANA
 438;tgsga-name;lww-firstname; 17780;goh-city;1982/12/24;lzcl-street; 136;SD;SOUTH DAKOTA
 439;agsyj-name;fve-firstname; 19260;wgi-city;1970/03/07;aone-street; 48;WV;WEST VIRGINIA
 440;yrgqp-name;tni-firstname; 15820;mzp-city;1986/04/19;femc-street; 29;PR;PUERTO RICO
 441;ltjmw-name;cps-firstname; 13060;aeo-city;1954/07/17;bewv-street; 182;OK;OKLAHOMA
 442;gjkpl-name;tre-firstname; 16340;ndn-city;1962/08/27;ocld-street; 16;WV;WEST VIRGINIA
 443;ryvgz-name;bhe-firstname; 14960;lcg-city;1978/08/09;bxwa-street; 19;NM;NEW MEXICO
 444;zgwwi-name;umb-firstname; 11840;llj-city;1958/07/06;uiww-street; 115;MP;NORTHERN MARIANA ISLANDS
 445;qaczz-name;qng-firstname; 10900;umr-city;1970/01/17;mlsy-street; 6;VA;VIRGINIA
 446;xcruf-name;vbp-firstname; 17840;vzl-city;1982/06/17;oatg-street; 110;MN;MINNESOTA
 447;egqdv-name;boy-firstname; 18360;gfw-city;1958/10/07;qaoh-street; 104;AS;AMERICAN SAMOA
 448;digvt-name;fid-firstname; 11180;iyw-city;1958/03/13;pooo-street; 119;NV;NEVADA
 449;gxavv-name;bal-firstname; 17020;cra-city;1966/02/01;nchf-street; 122;CO;COLORADO
 450;tiwoz-name;vwo-firstname; 19340;oja-city;1982/07/16;bnsy-street; 149;MA;MASSACHUSETTS
 451;jemtu-name;gnk-firstname; 11180;gbb-city;1954/03/01;pmbh-street; 87;NC;NORTH CAROLINA
 452;rhdjl-name;qaf-firstname; 16500;nqr-city;1974/03/28;vmrd-street; 75;DE;DELAWARE
 453;qdkbn-name;cpl-firstname; 17460;ugb-city;1987/01/29;cwoa-street; 184;ME;MAINE
 454;tuhon-name;bbg-firstname; 10500;cer-city;1958/03/02;ttst-street; 184;WA;WASHINGTON
 455;wluxg-name;xpv-firstname; 18240;axq-city;1958/07/28;useg-street; 140;NY;NEW YORK
 456;ojkgh-name;tzq-firstname; 16000;guv-city;1990/11/25;hagy-street; 198;MN;MINNESOTA
 457;arxsx-name;ana-firstname; 18620;oxx-city;1986/04/22;hkdb-street; 28;SD;SOUTH DAKOTA
 458;ujpiw-name;bty-firstname; 14000;kiy-city;1978/08/10;bmgt-street; 176;PW;PALAU
 459;sufuk-name;izq-firstname; 17740;kfy-city;1986/10/29;xxcz-street; 26;MD;MARYLAND
 460;nedie-name;ajz-firstname; 11820;fnf-city;1970/04/08;ccnd-street; 108;MT;MONTANA
 461;vbfwv-name;anp-firstname; 19880;qag-city;1962/11/17;tbcc-street; 23;NJ;NEW JERSEY
 462;bmrzz-name;yfe-firstname; 11300;rgi-city;1970/10/01;xbjp-street; 26;FM;FEDERATED STATES OF MICRONESIA
 463;jewvw-name;ymh-firstname; 13100;kcv-city;1982/03/01;cjbt-street; 4;KY;KENTUCKY
 464;kxxpm-name;has-firstname; 18500;hlp-city;1954/04/03;qsmq-street; 77;MD;MARYLAND
 465;qkjxa-name;gdq-firstname; 12240;qtz-city;1954/11/25;mevz-street; 12;NM;NEW MEXICO
 466;vmdwq-name;vjm-firstname; 19980;rmz-city;1986/09/09;ifxg-street; 139;NC;NORTH CAROLINA
 467;ssgil-name;lkd-firstname; 14220;ndd-city;1963/01/19;rjln-street; 195;MD;MARYLAND
 468;szbhe-name;pwi-firstname; 10100;iij-city;1966/04/09;mojp-street; 177;AK;ALASKA
 469;eswrp-name;lts-firstname; 10080;cuk-city;1966/03/29;plor-street; 139;VI;VIRGIN ISLANDS
 470;tioeh-name;qgc-firstname; 11800;zre-city;1954/06/05;owaq-street; 98;LA;LOUISIANA
 471;fkzpf-name;bse-firstname; 19040;cor-city;1962/06/21;aamy-street; 53;NY;NEW YORK
 472;kczhq-name;hde-firstname; 16380;siz-city;1986/12/15;rawc-street; 127;ND;NORTH DAKOTA
 473;gpwqf-name;pae-firstname; 12820;rga-city;1958/12/19;djsk-street; 131;WY;WYOMING
 474;yvgmq-name;hzp-firstname; 19020;ioc-city;1966/03/22;zdbt-street; 106;FM;FEDERATED STATES OF MICRONESIA
 475;abjqk-name;pdo-firstname; 13040;vnj-city;1962/09/08;kvwv-street; 145;OR;OREGON
 476;adppx-name;gmz-firstname; 16560;pah-city;1962/03/14;ynqs-street; 107;WY;WYOMING
 477;lxcrs-name;arg-firstname; 12160;med-city;1990/03/14;wlag-street; 141;MT;MONTANA
 478;mrkfp-name;jbm-firstname; 19760;dhu-city;1970/06/12;idan-street; 145;UT;UTAH
 479;zmkad-name;vns-firstname; 10080;aoe-city;1955/01/25;qgbd-street; 174;FL;FLORIDA
 480;vftgh-name;nxs-firstname; 11580;igp-city;1954/05/17;fief-street; 183;MT;MONTANA
 481;bnafy-name;geg-firstname; 11160;sfp-city;1974/04/26;tpnq-street; 194;DE;DELAWARE
 482;mwqpn-name;lbw-firstname; 17660;oot-city;1974/04/09;qxgk-street; 18;AK;ALASKA
 483;cijcf-name;uvd-firstname; 17940;ioy-city;1982/02/07;gfiz-street; 147;MN;MINNESOTA
 484;kwjhv-name;swd-firstname; 12400;pue-city;1970/12/10;sall-street; 104;MN;MINNESOTA
 485;mfdfy-name;hsy-firstname; 18260;bzl-city;1982/09/08;hsyc-street; 76;RI;RHODE ISLAND
 486;cdrmm-name;mxa-firstname; 11520;rie-city;1962/12/21;dxed-street; 112;LA;LOUISIANA
 487;flyur-name;mzm-firstname; 12260;wyi-city;1978/07/07;xqoj-street; 156;WV;WEST VIRGINIA
 488;hkwnf-name;obg-firstname; 14520;bib-city;1967/01/20;mvee-street; 115;undefined;undefined
 489;kawax-name;pyn-firstname; 10520;zjh-city;1966/09/01;fsmz-street; 87;DE;DELAWARE
 490;nnhzs-name;sfo-firstname; 19040;thn-city;1990/11/08;tzsb-street; 43;IN;INDIANA
 491;xivec-name;gzo-firstname; 16820;aha-city;1978/10/19;iolt-street; 36;HI;HAWAII
 492;hyiju-name;plw-firstname; 18620;zzu-city;1982/07/13;tydq-street; 112;NV;NEVADA
 493;leylb-name;fcv-firstname; 15720;biw-city;1958/09/18;bnpf-street; 52;MT;MONTANA
 494;pweci-name;hcu-firstname; 19020;fzb-city;1950/10/28;spdv-street; 131;WY;WYOMING
 495;ddulq-name;crh-firstname; 11540;yrm-city;1974/07/31;opds-street; 95;OH;OHIO
 496;fyrha-name;wea-firstname; 16620;vfe-city;1990/12/07;ukki-street; 48;GU;GUAM
 497;vuypf-name;ugz-firstname; 13320;ixw-city;1970/07/09;aptu-street; 60;HI;HAWAII
 498;wezwd-name;oae-firstname; 11180;egb-city;1982/02/27;ldea-street; 2;IL;ILLINOIS
 499;wrokv-name;zaa-firstname; 13980;hac-city;1974/01/20;zwst-street; 21;MO;MISSOURI
 500;wtapc-name;ciu-firstname; 15360;uvh-city;1962/08/03;mddz-street; 196;IA;IOWA
